code,ipcEquivalent,title,maxYears,lifeOrDeath,sourceUrl,verifiedBy,deathPossible,lifePossible,gradedOffence,punishmentText,confidence
IPC#302,BNS#103(1),Murder,0,true,https://www.iitk.ac.in/wc/data/IPC_186045.pdf,Claude,true,true,false,"Death or imprisonment for life, and shall also be liable to fine",high
IPC#323,BNS#115(2),Voluntarily causing hurt,1,false,https://www.iitk.ac.in/wc/data/IPC_186045.pdf,Claude,false,false,true,"Imprisonment up to 1 year, or fine up to Rs 1000, or both",high
IPC#325,BNS#117(2),Voluntarily causing grievous hurt,7,false,https://www.iitk.ac.in/wc/data/IPC_186045.pdf,Claude,false,false,true,"Imprisonment up to 7 years, and fine",medium
IPC#352,BNS#131,Assault or criminal force otherwise than on grave provocation,0.25,false,https://www.iitk.ac.in/wc/data/IPC_186045.pdf,Claude,false,false,true,"Imprisonment up to 3 months, or fine up to Rs 500, or both",medium
IPC#379,BNS#303(2),Theft,3,false,https://www.iitk.ac.in/wc/data/IPC_186045.pdf,Claude,false,false,true,"Imprisonment up to 3 years, or fine, or both",high
IPC#392,BNS#309(4),Robbery,10,false,https://www.iitk.ac.in/wc/data/IPC_186045.pdf,Claude,false,false,true,"Rigorous imprisonment up to 10 years and fine; up to 14 years if on a highway between sunset and sunrise",medium
IPC#406,BNS#316(2),Criminal breach of trust,3,false,https://www.iitk.ac.in/wc/data/IPC_186045.pdf,Claude,false,false,true,"Imprisonment up to 3 years, or fine, or both",high
IPC#417,BNS#318(2),Cheating,1,false,https://www.iitk.ac.in/wc/data/IPC_186045.pdf,Claude,false,false,true,"Imprisonment up to 1 year, or fine, or both",high
IPC#420,BNS#318(4),Cheating and dishonestly inducing delivery of property,7,false,https://www.iitk.ac.in/wc/data/IPC_186045.pdf,Claude,false,false,true,"Imprisonment up to 7 years, and fine",high
IPC#448,BNS#329(4),House-trespass,1,false,https://www.iitk.ac.in/wc/data/IPC_186045.pdf,Claude,false,false,true,"Imprisonment up to 1 year, or fine up to Rs 1000, or both",high
IPC#506-I,BNS#351(2),Criminal intimidation,2,false,https://www.iitk.ac.in/wc/data/IPC_186045.pdf,Claude,false,false,true,"Imprisonment up to 2 years, or fine, or both",high
IPC#506-II,BNS#351(3),Criminal intimidation by threat of death or grievous hurt,7,false,https://www.iitk.ac.in/wc/data/IPC_186045.pdf,Claude,false,false,true,"Imprisonment up to 7 years, or fine, or both",high
BNS#103(1),IPC#302,Murder,0,true,https://prsindia.org/files/bills_acts/bills_parliament/2023/Bharatiya_Nyaya_Sanhita%2C_2023.pdf,Claude,true,true,false,"Death or imprisonment for life, and shall also be liable to fine",high
BNS#115(2),IPC#323,Voluntarily causing hurt,1,false,https://prsindia.org/files/bills_acts/bills_parliament/2023/Bharatiya_Nyaya_Sanhita%2C_2023.pdf,Claude,false,false,true,"Imprisonment up to 1 year, or fine up to Rs 10000, or both",high
BNS#117(2),IPC#325,Voluntarily causing grievous hurt,7,false,https://prsindia.org/files/bills_acts/bills_parliament/2023/Bharatiya_Nyaya_Sanhita%2C_2023.pdf,Claude,false,false,true,"Imprisonment up to 7 years, and fine",high
BNS#131,IPC#352,Assault or criminal force otherwise than on grave provocation,0.25,false,https://prsindia.org/files/bills_acts/bills_parliament/2023/Bharatiya_Nyaya_Sanhita%2C_2023.pdf,Claude,false,false,true,"Imprisonment up to 3 months, or fine up to Rs 1000, or both",high
BNS#303(2),IPC#379,Theft,3,false,https://prsindia.org/files/bills_acts/bills_parliament/2023/Bharatiya_Nyaya_Sanhita%2C_2023.pdf,Claude,false,false,true,"Imprisonment up to 3 years, or fine, or both; on second or subsequent conviction rigorous imprisonment 1 to 5 years and fine",high
BNS#309(4),IPC#392,Robbery,10,false,https://prsindia.org/files/bills_acts/bills_parliament/2023/Bharatiya_Nyaya_Sanhita%2C_2023.pdf,Claude,false,false,true,"Rigorous imprisonment up to 10 years and fine; up to 14 years if on a highway between sunset and sunrise",high
BNS#316(2),IPC#406,Criminal breach of trust,5,false,https://prsindia.org/files/bills_acts/bills_parliament/2023/Bharatiya_Nyaya_Sanhita%2C_2023.pdf,Claude,false,false,true,"Imprisonment up to 5 years, or fine, or both (raised from 3 years under IPC 406)",high
BNS#318(2),IPC#417,Cheating,3,false,https://prsindia.org/files/bills_acts/bills_parliament/2023/Bharatiya_Nyaya_Sanhita%2C_2023.pdf,Claude,false,false,true,"Imprisonment up to 3 years, or fine, or both (raised from 1 year under IPC 417)",high
BNS#318(4),IPC#420,Cheating and dishonestly inducing delivery of property,7,false,https://prsindia.org/files/bills_acts/bills_parliament/2023/Bharatiya_Nyaya_Sanhita%2C_2023.pdf,Claude,false,false,true,"Imprisonment up to 7 years, and fine",high
BNS#329(4),IPC#448,House-trespass,1,false,https://prsindia.org/files/bills_acts/bills_parliament/2023/Bharatiya_Nyaya_Sanhita%2C_2023.pdf,Claude,false,false,true,"Imprisonment up to 1 year, or fine up to Rs 5000, or both",high
BNS#351(2),IPC#506-I,Criminal intimidation,2,false,https://prsindia.org/files/bills_acts/bills_parliament/2023/Bharatiya_Nyaya_Sanhita%2C_2023.pdf,Claude,false,false,true,"Imprisonment up to 2 years, or fine, or both",high
BNS#351(3),IPC#506-II,Criminal intimidation by threat of death or grievous hurt,7,false,https://prsindia.org/files/bills_acts/bills_parliament/2023/Bharatiya_Nyaya_Sanhita%2C_2023.pdf,Claude,false,false,true,"Imprisonment up to 7 years, or fine, or both",high
